abandon	(v) bỏ, từ bỏ
ability	(n) khả năng, năng lực
able	(adj) có năng lực, có tài
about	(adv) (prep) khoảng, về
above	(adv) ở trên
abroad	(adv) ở, ra nước ngoài, ngoài trời
absence	(n) sự vắng mặt
absent	(adj) vắng mặt, nghỉ
absolute	(adj) tuyệt đối, hoàn toàn
absolutely	(adv) tuyệt đối, hoàn toàn
absorb(v)	thu hút, hấp thu, lôi cuốn
abuse(n)	(v) lộng hành, lạm dụng
academic	(adj) thuộc học viện, ĐH, viện hàn lâm
accent	(n)trọng âm, dấu trọng âm
accept	(v) chấp nhận, chấp thuận
acceptable	(adj) có thể chấp nhận, chấp thuận
access	(n) lối, cửa, đường vào
accident	(n) tai nạn, rủi ro
accidental	(adj) tình cờ, bất ngờ
accidentally	(adv) tình cờ, ngẫu nhiên
accommodation	(n) sự thích nghi, điều tiết
accompany	(v) đi theo, đi cùng, kèm theo
account	(n) (v) tài khoản, kế toán; tính toán, tính đến
accurate	(adj) đúng đắn, chính xác, xác đáng
accuse	(v) tố cáo, buộc tội, kết tội
acid	(n) axit
acknowledge	(v) công nhận, thừa nhận
acquire	(v) dành được, đạt được, kiếm được
across	(adv) (prep) qua, ngang qua
activity	(n) sự tích cực, sự hoạt động, sự hăng hái, sự linh lợi
actor	(n) diễn viên nam
actual	(adj) thực tế, có thật
actually	(adv) hiện nay, hiện tại
actress	(n) diễn viên nữ
adapt	(v) tra, lắp vào
add	(v) cộng, thêm vào
additional	(adj) thêm vào, tăng thêm
address	(n) (v) địa chỉ, đề địa chỉ
